valid_miles,transport_type,weight,origin_kma,destination_kma,hour,month,dayofyear,weekday,year,quarter,predicted_rate
6.731900754067883,VAN,34281.0,OH_COL,AL_MOB,5,11,318,4,2020,4,3.0068287850222712
6.737559901986023,VAN,42000.0,FL_LAK,KY_LOU,5,11,318,4,2020,4,1.125884801309937
6.596872796701854,VAN,42000.0,NJ_ELI,KY_LOU,5,11,318,4,2020,4,1.391549429723361
6.596872796701854,VAN,42000.0,NJ_ELI,KY_LOU,5,11,318,4,2020,4,1.391549429723361
6.596872796701854,VAN,42000.0,NJ_ELI,KY_LOU,5,11,318,4,2020,4,1.391549429723361
7.6096837978096055,VAN,6429.0,CA_LAX,IL_JOL,5,11,318,4,2020,4,2.360679116991813
6.904750769961838,VAN,43155.0,MN_MIN,NY_BUF,5,11,318,4,2020,4,3.2417047662114378
6.904750769961838,VAN,43155.0,MN_MIN,NY_BUF,5,11,318,4,2020,4,3.2417047662114378
6.904750769961838,VAN,43155.0,MN_MIN,NY_BUF,5,11,318,4,2020,4,3.2417047662114378
6.904750769961838,VAN,43155.0,MN_MIN,NY_BUF,5,11,318,4,2020,4,3.2417047662114378
6.904750769961838,VAN,43155.0,MN_MIN,NY_BUF,5,11,318,4,2020,4,3.2417047662114378
7.862801246100193,REEFER,42000.0,CA_FRS,PA_HAR,5,11,318,4,2020,4,2.8124398878054957
7.862801246100193,REEFER,42000.0,CA_FRS,PA_HAR,5,11,318,4,2020,4,2.8124398878054957
7.877139310238968,REEFER,42000.0,CA_FRS,PA_HAR,5,11,318,4,2020,4,2.7464317117688926
7.097176613293552,VAN,42500.0,TX_ANT,OH_CIN,5,11,318,4,2020,4,2.406688764925068
7.097176613293552,VAN,42500.0,TX_ANT,OH_CIN,5,11,318,4,2020,4,2.406688764925068
6.936750858512779,VAN,40000.0,WI_MIL,MA_BOS,5,11,318,4,2020,4,3.864433156703056
6.848005274576363,VAN,42000.0,PA_HAR,TN_MEM,5,11,318,4,2020,4,1.345411035452315
6.737559901986023,VAN,42000.0,FL_LAK,KY_LOU,5,11,318,4,2020,4,1.125884801309937
6.432779347367059,VAN,42000.0,MD_BAL,KY_LOU,5,11,318,4,2020,4,1.199019649147729
4.697475840076078,VAN,35000.0,PA_PHI,PA_PHI,5,11,318,4,2020,4,7.2121180713772794
4.8154311238365946,VAN,44000.0,OK_OKC,TX_DAL,5,11,318,4,2020,4,4.013259042743259
7.196162125342937,VAN,15000.0,CA_ONT,TX_AUS,5,11,318,4,2020,4,3.5719779223595878
7.196162125342937,VAN,15000.0,CA_ONT,TX_AUS,5,11,318,4,2020,4,3.5719779223595878
5.407171771460119,VAN,35000.0,CA_STK,CA_FRS,5,11,318,4,2020,4,2.589904351689733
6.155261414882675,VAN,36000.0,SC_CHA,AL_DEC,5,11,318,4,2020,4,2.9741738105882383
4.845367503868749,VAN,35000.0,PA_PHI,MD_BAL,5,11,318,4,2020,4,7.5729202642943845
7.912902705683574,VAN,25000.0,CA_ONT,NJ_ELI,5,11,318,4,2020,4,2.907426263240149
7.332172948066042,VAN,24000.0,NM_ALB,TN_KNO,5,11,318,4,2020,4,2.2563152215674482
6.23891036711726,VAN,21276.0,PA_ALL,OH_COL,5,11,318,4,2020,4,1.1397863863161344
